"","tweetsdf2.text","id"
"78","Our NEW bareMinerals location in Freehold Raceway Mall, NJ is OPEN!  Come visit us, lower level right by Starbucks… https://t.co/A7y8VC6c3T",78
"79","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",79
"80","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",80
"81","You know what type of workers I really strongly dislike. Know-it-all starbucks workers. Y'all really blow somebody'… https://t.co/X4xBL5o8vM",81
"82","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",82
"83","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",83
"84","Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah",84
"85","Ooo I almost forgot about the free birthday drink from Starbucks!",85
"86","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",86
"87","Starbucks Can't Get People to Drink a Second Cup of Coffee and That's Worrying https://t.co/BdjAYhsUDF",87
"88","Lmaooo the Starbucks people always look at me like I have three heads when I tell them no milk or sugar",88
"89","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",89
"90","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",90
"91","Just watched some lady introduce her daughter to a random guy she just met in Starbucks and tbh I saw the sparks fl… https://t.co/e9FzNOBhwn",91
"92","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",92
"93","""Do you have a Starbucks card?"" ""Do you have a My Kohl's Charge?"" ""Do you have a Dick's ScoreCard?"" ""Do you have an… https://t.co/GaCpI1PVhJ",93
"94","@DisneySprings @Starbucks Is this a Disney springs exclusive?? It’s my birthday and I would love to get one at Starbucks ",94
"95","It smells over here (@ Starbucks in Cheltenham, PA) https://t.co/YWNFzf4jwb",95
"96","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",96
"97","Wake Up &amp; Smell the Coffee: Notes from a Visit to the Starbucks Reserve Roastery &amp; Tasting Room in Seattle… https://t.co/2X2sMbo5Vd",97
"98","Starbucks patron kicked out for harassing international student who was speaking Korean https://t.co/wIpXqPvqe0",98
"99","RT @westwingfan1: i wish i were more intimidating so i wouldn't be a target for ppl at starbucks asking if they can sit at my table",99
"100","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",100
"101","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",101
"102","'Tis the season to be a winner. Millions of Stars, instant wins, and the chance at Starbucks for Life. Come play. https://t.co/r15p5smyyJ",102
"103","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",103
"104","This Starbucks customer really wasn't thrilled to hear foreign languages https://t.co/MWCPhKYcYK",104
"105","RT @BuzzFeed: This guy claims he ""made"" Starbucks employees call out ""Trump MAGA"" but people have doubts it happened
https://t.co/4OgKQgqQ4o",105
"106","I think I want some StarBucks when I get off...",106
"107","Nothing taste better than a peppermint mocha frappe creme @Starbucks https://t.co/8vBEDUI5wh",107
"108","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",108
"109","@KSLibraryGirl Got a 25 dolla Starbucks @ me",109
"110","Sitting at my local Starbucks, sipping my favorite holiday tea - their Joy tea is so good!!! -… https://t.co/b67LpzWmpx",110
"111","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",111
"112","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",112
"113","RT @BuzzFeed: This guy claims he ""made"" Starbucks employees call out ""Trump MAGA"" but people have doubts it happened
https://t.co/4OgKQgqQ4o",113
"114","RT @tiwyf: Starbucks' Duffins wish they were Cronuts http://t.co/AKN6BmHJAs via @TheWeek http://t.co/tKIEzCTsFE",114
"115","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",115
"116","People have heart attacks over Starbucks cups but Trump has dealt the most powerful blow in the War on Christmas ye… https://t.co/WrGlsumolx",116
"117","@coochiabs Try the white chocolate mocha from Starbucks it’s the besttttt",117
"118","@chidderchadder just walked into a Starbucks in Soho and said “yasss queen” #foreverstarbucksfam",118
"119","RT @BuzzFeed: This guy claims he ""made"" Starbucks employees call out ""Trump MAGA"" but people have doubts it happened
https://t.co/4OgKQgqQ4o",119
"120","@chesse47 @Starbucks Only for me!!",120
"121","RT @BuzzFeed: This guy claims he ""made"" Starbucks employees call out ""Trump MAGA"" but people have doubts it happened
https://t.co/4OgKQgqQ4o",121
"122","RT @westwingfan1: i wish i were more intimidating so i wouldn't be a target for ppl at starbucks asking if they can sit at my table",122
"123","This guy claims he ""made"" Starbucks employees call out ""Trump MAGA"" but people have doubts it happened
https://t.co/4OgKQgqQ4o",123
"124","@dailydoseofshea @Starbucks Literally the WORST!",124
"125","@chesse47 My treat was @Starbucks ok...I might have a problem.  It would be a bigger problem if only they delivered.",125
"126","Cake pops $1 off when you purchase a hot chocolate at @starbucks or at least they were at my… https://t.co/85pQAjSklw",126
"127","RT @popsknox: @hoosierworld @SusanSarandon This is a woman who trekked through Central American jungles delivering baby formula to impoveri…",127
"128","RT @davelozo: 7. Sometimes when you're in Starbucks, you have to open pixlr and do something with the Mets injuries: https://t.co/EIxDQbDD4i",128
"129","I'm at Coffee Express- Starbucks in Philadelphia, PA https://t.co/L33hqTTuE0 https://t.co/8z2hXef8jN",129
"130","RT @davelozo: 7. Sometimes when you're in Starbucks, you have to open pixlr and do something with the Mets injuries: https://t.co/EIxDQbDD4i",130
"131","RT @davelozo: 7. Sometimes when you're in Starbucks, you have to open pixlr and do something with the Mets injuries: https://t.co/EIxDQbDD4i",131
"132","RT @davelozo: 7. Sometimes when you're in Starbucks, you have to open pixlr and do something with the Mets injuries: https://t.co/EIxDQbDD4i",132
"133","RT @ChristianCraven: Starbucks quit burning your coffee challenge https://t.co/cdE01QfM99",133
"134","7. Sometimes when you're in Starbucks, you have to open pixlr and do something with the Mets injuries: https://t.co/EIxDQbDD4i",134
"135","Treat your kids during your next Starbucks holiday run! https://t.co/SITrlcB1jz",135
"136","@mUniversitySF Can we open another Starbucks on campus? Lines are terrible!",136
"137","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",137
"138","RT @GradysColdBrew: Laird pointed to the release of brew-at-home kits by Starbucks and Dunkin’ Donuts. ‘We are extremely proud of our innov…",138
"139","I'm so pressed about how difficult it is to find a decent taco in this part of Mexico. Yet, Starbucks and a Big Mac… https://t.co/6ln8wt90Ov",139
"140","#Starbucks #wifi made computers mine #cryptocurrency

Hmmmm... suddenly #BYOD sounds like a good plan for #office… https://t.co/7Q7b4zWBUu",140
"141","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",141
"142","""Do you have a Starbucks card?"" ""Do you have a My Kohl's Charge?"" ""Do you have a Dick's ScoreCard?"" ""Do you have an… https://t.co/5CeJD2OseT",142
"143","There is a security guard @javitscenter whos job is to yell at people who don’t buy Starbucks.",143
"144","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",144
"145","Grinch Award goes to @Starbucks for discontinuing sugar-free peppermint mochas.  real footage of CEO Howard Schult… https://t.co/uGOFPSSsD8",145
"146","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",146
"147","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/zdlV9LO9kI",147
"148","RT @nwalks: This Starbucks is playing the Bowie/Crosby Little Drummer Boy/Peace On Earth and very boldly included the ENTIRE scene beforeha…",148
"149","'This is America. Use English only.' Woman rants at Korean student in Starbucks video https://t.co/U1br8URqJa",149
"150","latest addition to my #etsy shop: Gucci headband for Starbucks coffee cup, Gucci inspired #accessories… https://t.co/uYVIwXbq9G",150
"151","Watching Your Calories? Add the Starbucks Christmas Tree Frappuccino to Your Naughty List https://t.co/5EkPtNI0h6… https://t.co/viGzFbqZ5c",151
"152","Christmas time for a teacher means receiving over $150 in Starbucks gift cards. Not complaining.",152
"153","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",153
"154","i never thought this would actually happen to me but one of the baristas at Starbucks knows me by name and that tel… https://t.co/EslvkkADhw",154
"155","RT @JVM: Breaking News: It's National Cupcake Day! Starbucks has started offering vegan cupcakes in Florida! Let's... https://t.co/iwZlV2E8…",155
"156","This racist woman was kicked out of Starbucks by the police, because karma is real https://t.co/d13bARWAuv via @YahooLifestyle",156
"157","Laird pointed to the release of brew-at-home kits by Starbucks and Dunkin’ Donuts. ‘We are extremely proud of our i… https://t.co/ZlEOtkYz9T",157
"158","RT @iahdubauhsoj: AGHHH they’re playing soca in the Starbucks on the Ave.  These gentrifiers are evolving",158
"159","RT @RowdyGurl18: Starbucks is straight syrupy crack. Yeah I said it. I used to like the chocolate chip frappe and the strawberry frappe. Bu…",159
"160","RT @JVM: Breaking News: It's National Cupcake Day! Starbucks has started offering vegan cupcakes in Florida! Let's... https://t.co/iwZlV2E8…",160
"161","@ThinkUrselfFree @doylebob @netflix Right. Which is why all the large 'Monopolies"" like Google, Netflix etc are law… https://t.co/xxCGoDeDgL",161
"162","RT @nwalks: This Starbucks is playing the Bowie/Crosby Little Drummer Boy/Peace On Earth and very boldly included the ENTIRE scene beforeha…",162
"163","We are in an age where large corporate behemoths are favored by our Government. How can a #SmallBusiness compete wi… https://t.co/tIhq54Ah32",163
"164","RT @EatThisNotThat: Don't order another holiday drink at @Starbucks without watching this first!

----&gt; https://t.co/0ayV7aaReE
#Coffee #He…",164
"165","@garyvee and @Starbucks is always a win. (Well more like Gary and the free WiFi for a few hours.) 

#coffee… https://t.co/jHpgc6w6cv",165
"166","RT @FullBellyLaughs: Who's got the freshest java? We got answers. Listen now https://t.co/Vy3C2lGEof #trypod #coffee @Starbucks @DunkinDonu…",166
"167","RT @TheSeanODonnell: If you haven’t ever had white hot chocolate from Starbucks then you messing up",167
"168","RT @lisamariebasile: Overheard at Starbucks via white hipster guy: “she works at one of those websites, like you know, it’s all like women…",168
"169","Really Loving all the Christmas cheer at Starbucks #Givegood",169
"170","So yesterday my local @Starbucks is closed and I settle for McDonald's coffee. At least I'll never wonder what garb… https://t.co/UrrXXqzNQH",170
"171","@Newsweek Thank God we can still raise hell about @Starbucks coffee cups!",171
"172","RT @thisisinsider: This is a @Starbucks lover's dream come true  ☕️ https://t.co/mhmQCErAGe",172
"173","White Lady Hauled Away by Cops After Racist Freakout at Korean Woman in Bay Area Starbucks https://t.co/BtC29a1vWf",173
"174","This Starbucks is playing the Bowie/Crosby Little Drummer Boy/Peace On Earth and very boldly included the ENTIRE sc… https://t.co/ovVixAu4YN",174
"175","@Bearded_Brian I’ll be sitting on the box .. and Starbucks you’re uncultured swine ..",175
"176","Who's got the freshest java? We got answers. Listen now https://t.co/Vy3C2lGEof #trypod #coffee @Starbucks… https://t.co/6jD1nfbOuv",176
"177","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks: https://t.co/p2g80YBIYC https://t.…",177
"178","If you use a sleeve for cold starbucks bevs then UR FUKIN WEAK BRO",178
"179","Breaking News: It's National Cupcake Day! Starbucks has started offering vegan cupcakes in Florida! Let's... https://t.co/iwZlV2E8Oa",179
"180","@Starbucks It's not my fault some literal bean counter thinks it's cheaper to stop brewing decaf after 10am than th… https://t.co/rAxxIHsBjg",180
"181","@Blavity So if it were for white women he'd say no tanning salons and Starbucks",181
"182","I love the inflection from the @Starbucks barista when I ask for a decaf like it's literally an impossible request… https://t.co/6xgdZlGhIG",182
"183","Starbucks: Take the Next Step and Offer a Vegan Food Menu! - Sign the Petition! https://t.co/6ZgvupDRl2 via @Change",183
"184","FREE $5 Amazon Gift Card WYB $50 in Starbucks eGift cards via https://t.co/fRRQezpO5Z- Oklahoma's ... https://t.co/BH55uj7662",184
"185","RT @thisisinsider: This is a @Starbucks lover's dream come true  ☕️ https://t.co/mhmQCErAGe",185
"186","Anybody who hates the phrase ""happy holidays"" should probably know that there are multiple Christian holidays in th… https://t.co/tTGEVOawjd",186
"187","RT @thisisinsider: This is a @Starbucks lover's dream come true  ☕️ https://t.co/mhmQCErAGe",187
"188","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",188
"189","Just spent 15 minutes at possibly the worst Starbucks in soho.",189
"190","RT @IrvingVgc: The basic  bitch combo in Starbucks @RachelKaralnik  know what I have she always get it https://t.co/tXQUuJecRB",190
"191","The basic  bitch combo in Starbucks @RachelKaralnik  know what I have she always get it https://t.co/tXQUuJecRB",191
"192","@CNN Have you ever worked near a courthouse, a Starbucks or a McDonalds?",192
"193","Just in time for frigid NYC temps, DKC Client,  Maxine Linehan ""I Think of You (Holiday Edition)"" will warm your he… https://t.co/FYovvqYOkY",193
"194","Got approached by a nice lady in Starbucks and was asked if I could explain whether she would be affected by AIM be… https://t.co/Pdcuo3K4mA",194
"195","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",195
"196","Sure gonna miss this - studying at Starbucks is New York is so much better than anywhere else https://t.co/xgYMUOp4D1",196
"197","I’m the type of person that will have $22 total and add $10 to my @Starbucks Card",197
"198","RT @Adam_K_Levin: Hackers Hijacked an Internet Provider to Mine Cryptocurrency with Laptops In Starbucks https://t.co/rjznm2KQrU via @mothe…",198
"199","For only $2.75 a month you can use NordVPN to secure your browser's connection https://t.co/mPI2cw2AdC

Security is… https://t.co/t2Pv7aF6zm",199
"200","“I’m so poor” as I spend my last 10$ on Starbucks, now I can’t eat until Tuesday’s",200
"201","Another day at @Starbucks ☕️❄️#workflow #herecomesthesnow https://t.co/1qxicHEZsn",201
"202","Joanne and Gabby did a great job with their #Outsiders project! #Sushi #Starbucks #FunInELA #MiddleSchoolTeacher… https://t.co/7FrGB2Jfrl",202
"203","@scamful Ayo @Starbucks I'm not buying your coffee cause I saw mad white girls in uggs. Y'all got some bomb ass frappucinos though",203
"204","@ScaryMommy My kids grades improved markedly when Starbucks was upgraded to Stoli ",204
"205","RT @Adam_K_Levin: Hackers Hijacked an Internet Provider to Mine Cryptocurrency with Laptops In Starbucks https://t.co/rjznm2KQrU via @mothe…",205
"206","Hackers Hijacked an Internet Provider to Mine Cryptocurrency with Laptops In Starbucks https://t.co/rjznm2KQrU via @motherboard",206
"207","For only $2.75 a month you can use NordVPN to secure your browser's connection https://t.co/3jjgaBEPG6

Security is… https://t.co/jIjeTOVstb",207
"208","Amazon: FREE $5 Amazon Credit with $50 Starbucks eGift Card Purchase - https://t.co/iPH1AaQcYe # #Remove term: Christmas Deals 2017",208
"209","Ways to win my heart: get me a grande vanilla sweet cream cold brew from @Starbucks. Ask for extra sweet cream if u… https://t.co/G0gwf7IbDM",209
"210","RT @twiptrips: The new #Starbucks Reserve Roastery promises a coffee experience with few equals. #ttot #tbex https://t.co/WDCYx3P8oj",210
"211","Overheard at Starbucks via white hipster guy: “she works at one of those websites, like you know, it’s all like wom… https://t.co/bPaUXZXRXB",211
"212","Our customers love our coffee and lattes because we deliver Starbucks quality at Dunkin Donuts… https://t.co/sJqYiAIDQC",212
"213","The new #Starbucks Reserve Roastery promises a coffee experience with few equals. #ttot #tbex https://t.co/WDCYx3P8oj",213
"214","First it was Starbucks now its CFA",214
"215","After L'Oreal &amp; Victoria's Secret, Strarbucks embraces Alibaba retail Technology suite. --&gt; Learn more :… https://t.co/7YiG4IIker",215
"216","Watching these Starbucks baristas dog their clientele with let it Snow as a soundtrack... lmao",216
"217","RT @SteveO_Writer: First, #Amazon destroyed retail -- now, it's coming for #Starbucks https://t.co/RgMLjxKJJF via @ZDNet &amp; @jperlow #coming…",217
"218","@elerianm @Starbucks Everyone is busy buying stocks? Latest sentiment data says so. https://t.co/ullD5rLVKS",218
"219","@ConStar24 @Starbucks Probably the right move.",219
"220","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks: https://t.co/p2g80YBIYC https://t.…",220
"221","Hungover in a Starbucks little drummer boy on the decks watching a hobo twirl around with a sleeping bag draped ove… https://t.co/y9ptOCVuV7",221
"222","@SteveSmirti @Starbucks Nope. And I didn't ask bc I don't trust the display if they don't offer it. Who knows how old it is!!",222
"223","@ConStar24 @Starbucks They didn’t give you the blueberry muffin from the display?",223
"224","RT @SteveO_Writer: First, #Amazon destroyed retail -- now, it's coming for #Starbucks https://t.co/RgMLjxKJJF via @ZDNet &amp; @jperlow #coming…",224
"225","Have you seen this elf?  Snap a photo of Eugene as he travels around NY &amp; your photo could win you a RT ticket to a… https://t.co/lWYZgHzytG",225
"226","RT @motherboard: Hackers hijacked an internet provider to mine cryptocurrency with laptops in Starbucks https://t.co/rnXI76Hdah https://t.c…",226
"227","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",227
"228","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.… https://t.co/UECzjkAiLB",228
"229","The Starbucks barista is purposely mispronouncing everyone’s name  it’s literally the funniest shit ever!",229
"230","RT @SteveO_Writer: First, #Amazon destroyed retail -- now, it's coming for #Starbucks https://t.co/RgMLjxKJJF via @ZDNet &amp; @jperlow #coming…",230
"231",".@starbucks please remind your employees to remove items from the display that you no longer have for the day. I'm… https://t.co/40BOXTX1ST",231
"232","RT @imnoah: Hi @Starbucks @StarbucksAr did you know that your in-store wifi provider in Buenos Aires forces a 10 second delay when you firs…",232
"233","I'm having my morning @Starbucks ☕️",233
"234","Watch Starbucks Customer Removed After Telling People Speaking Korean: 'Don't You Dare' https://t.co/TPwWTZjN05",234
"235","#GiveGood feels good @Starbucks https://t.co/FgJQbJw8JA",235
"236","@Jacopo_della_Q ~After careful scrutiny &amp; being the neutral party that I am, I've concluded that there's nothing on… https://t.co/vaWbe48HGh",236
"237","RT @beautiwithlexi: Flash giveaway 2:
RT TO WIN: $10 Starbucks giftcard
Must be following @beautiwithlexi ✨ https://t.co/J2rUOHgVJE",237
"238","RT @popsknox: @hoosierworld @SusanSarandon This is a woman who trekked through Central American jungles delivering baby formula to impoveri…",238
"239","RT @thisisinsider: Welcome to the largest @Starbucks in the world ☕️ https://t.co/ib0ZO3PXc5",239
